Link_Text,Link_URL,cleaned_text
Rahasia Kesuksesan Maarten Paes Gagalkan Penalti Pemain Arab Saudi,https://www.bola.net/open-play/rahasia-kesuksesan-maarten-paes-gagalkan-penalti-pemain-arab-saudi-29423a.html,rahasia kesuksesan maarten paes gagalkan penalti pemain arab saudi
Kabar Timnas Hari Ini: Shin Tae-yong Ungkap Kondisi Terkini Pemain Indonesia Jelang Melawan Australia,https://www.bola.net/open-play/kabar-timnas-hari-ini-shin-tae-yong-ungkap-kondisi-terkini-pemain-indonesia-jelang-melawan-au-6180f7.html,kabar timnas shin taeyong kondisi terkini pemain indonesia jelang melawan australia
Open Play Lainnya,https://www.bola.net/open-play/,open play
SPECIAL SOCCER,https://www.bola.net/editorial/,special soccer
"

",https://www.bola.net/editorial/6-pemain-inter-milan-dengan-gaji-tertinggi-pilar-utama-di-giuseppe-meazza-b00b5e.html,
6 Pemain Inter Milan dengan Gaji Tertinggi: Pilar Utama di Giuseppe Meazza,https://www.bola.net/editorial/6-pemain-inter-milan-dengan-gaji-tertinggi-pilar-utama-di-giuseppe-meazza-b00b5e.html,6 pemain inter milan gaji tertinggi pilar utama giuseppe meazza
"

",https://www.bola.net/editorial/6-pemain-manchester-united-yang-kontraknya-habis-pada-2025-1c191d.html,
6 Pemain Manchester United yang Kontraknya Habis pada 2025,https://www.bola.net/editorial/6-pemain-manchester-united-yang-kontraknya-habis-pada-2025-1c191d.html,6 pemain manchester united kontraknya habis 2025
"

",https://www.bola.net/editorial/5-pemain-dengan-nomor-punggung-7-di-chelsea-sebelum-pedro-neto-2fc214.html,
5 Pemain dengan Nomor Punggung 7 di Chelsea Sebelum Pedro Neto,https://www.bola.net/editorial/5-pemain-dengan-nomor-punggung-7-di-chelsea-sebelum-pedro-neto-2fc214.html,5 pemain nomor punggung 7 chelsea pedro neto
"

",https://www.bola.net/editorial/3-mantan-anak-buah-josep-guardiola-yang-mencetak-gol-lebih-banyak-ketimbang-erling-haaland-4d2684.html,
3 Mantan Anak Buah Josep Guardiola yang Mencetak Gol Lebih Banyak Ketimbang Erling Haaland,https://www.bola.net/editorial/3-mantan-anak-buah-josep-guardiola-yang-mencetak-gol-lebih-banyak-ketimbang-erling-haaland-4d2684.html,3 mantan anak buah josep guardiola mencetak gol ketimbang erling haaland
"

",https://www.bola.net/editorial/5-calon-pengganti-virgil-van-dijk-di-liverpool-480b19.html,
5 Calon Pengganti Virgil van Dijk di Liverpool,https://www.bola.net/editorial/5-calon-pengganti-virgil-van-dijk-di-liverpool-480b19.html,5 calon pengganti virgil van dijk liverpool
"

",https://www.bola.net/editorial/cristiano-ronaldo-dan-5-gelar-ballon-dor-perjalanan-menuju-kejayaan-3f0172.html,
Cristiano Ronaldo dan 5 Gelar Ballon d'Or: Perjalanan Menuju Kejayaan,https://www.bola.net/editorial/cristiano-ronaldo-dan-5-gelar-ballon-dor-perjalanan-menuju-kejayaan-3f0172.html,cristiano ronaldo 5 gelar ballon dor perjalanan kejayaan
Special Soccer Lainnya,https://www.bola.net/editorial/,special soccer
"
BOLA INTERNASIONAL
",https://www.bola.net/bola_eropa.html,bola internasional
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
Kembalinya Kepercayaan Diri Gli Azzurri,https://www.bola.net/piala_eropa/kembalinya-kepercayaan-diri-gli-azzurri-abe451.html,kembalinya kepercayaan gli azzurri
LIGA INGGRIS,https://www.bola.net/inggris/,liga inggris
"Bukan Gara-gara Pelatih, Raheem Sterling Harus Salahkan Dirinya Sendiri Terkait Kegagalannya di Chelsea",https://www.bola.net/inggris/bukan-gara-gara-pelatih-raheem-sterling-harus-salahkan-dirinya-sendiri-terkait-kegagalannya-d-641ffb.html,garagara pelatih raheem sterling salahkan terkait kegagalannya chelsea
LIGA INGGRIS,https://www.bola.net/inggris/,liga inggris
"Tak Bisa Tangani Cristiano Ronaldo, Erik Ten Hag Disebut Bodoh",https://www.bola.net/inggris/tak-bisa-tangani-cristiano-ronaldo-erik-ten-hag-disebut-bodoh-791f45.html,tangani cristiano ronaldo erik ten hag bodoh
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
Akhir dari Puasa Gol 3 Tahun Moise Kean di Timnas Italia,https://www.bola.net/piala_eropa/akhir-dari-puasa-gol-3-tahun-moise-kean-di-timnas-italia-c1d846.html,puasa gol 3 moise kean timnas italia
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
"Dua Sisi Davide Frattesi: Kalah Bersaing di Inter Milan, tapi Jadi Andalan Timnas Italia",https://www.bola.net/piala_eropa/dua-sisi-davide-frattesi-kalah-bersaing-di-inter-milan-tapi-jadi-andalan-timnas-italia-e347df.html,sisi davide frattesi kalah bersaing inter milan andalan timnas italia
LIGA EROPA LAIN,https://www.bola.net/liga_eropa_lain/,liga eropa
Terkuak! Ternyata Ini Alasan Fabio Vieira Hengkang dari Arsenal,https://www.bola.net/liga_eropa_lain/terkuak-ternyata-ini-alasan-fabio-vieira-hengkang-dari-arsenal-eb49e4.html,terkuak alasan fabio vieira hengkang arsenal
LIGA INGGRIS,https://www.bola.net/inggris/,liga inggris
"Hilal Main Belum Terlihat, Rasmus Hojlund Masih Harus Bersabar",https://www.bola.net/inggris/hilal-main-belum-terlihat-rasmus-hojlundmasih-harus-bersabar-30afe0.html,hilal main rasmus hojlund bersabar
OPEN PLAY,https://www.bola.net/open-play/,open play
"Shin Tae-yong: Australia Lebih Kuat Sejak Gabung Asia, Di Oseania Lawannya Cuma Selandia Baru",https://www.bola.net/open-play/shin-tae-yong-australia-lebih-kuat-sejak-gabung-asia-di-oseania-lawannya-cuma-selandia-baru-69072f.html,shin taeyong australia kuat gabung asia oseania lawannya selandia
OPEN PLAY,https://www.bola.net/open-play/,open play
VIDEO: Timnas Australia Tak Sabar Rasakan Atmosfer Bermain di Stadion Gelora Bung Karno,https://www.bola.net/open-play/video-timnas-australia-tak-sabar-rasakan-atmosfer-bermain-di-stadion-gelora-bung-karno-248ed6.html,video timnas australia sabar rasakan atmosfer bermain stadion gelora karno
PIALA EROPA,https://www.bola.net/piala_eropa/,piala eropa
